sundanese,indonesian
"Datangna klan Akimichi, pohara mantuan loba pikeun Kakashi.","Kedatangan klan Akimichi, sangat membantu banyak bagi Kakashi."
"Sanajan dina kaayaan terdesak, Kakashi masih bisa miboga Ideu.","Walaupun dalam keadaan terdesak, Kakashi masih bisa mempunyai Ide."
"Awalna, ideu éta leumpang mulus pikeun narajang Pain liwat dina taneuh ku serangan Kakashi.","Awalnya, ide itu berjalan mulus untuk menyerang Pain lewat dalam tanah oleh serangan Kakashi."
"Tétéla éta ngan hiji trik Kakashi, pikeun narajang Pein ku Chouji sarta bapana.","Ternyata itu hanya sebuah trik Kakashi, untuk menyerang Pein oleh Chouji dan ayahnya."
Serangan éta bisa ditahan ku salah sahiji awak Pein nyaéta Asura.,Serangan itu bisa ditahan oleh salah satu tubuh Pein yaitu Asura.
"Dina Kaayaan terkejut, Kakashi beuki teu berdaya.","Dalam Keadaan terkejut, Kakashi semakin tak berdaya."
Sarta manéhna diserang Pein kalayan salah sahiji paku anu asalna ti wangunan anu runtuh.,Dan dia diserang Pein dengan salah satu paku yang berasal dari bangunan yang runtuh.
"Di séjén tempat, Naruto anu keur reureuh pikahariwangeun kaayaan désana lamun diserang ku Akatsuki.","Di lain tempat, Naruto yang sedang istirahat mengkhawatirkan keadaan desanya jika diserang oleh Akatsuki."
Fukasaku mecakan menghiburnya kalayan muji ninja-ninja Konoha.,Fukasaku mencoba menghiburnya dengan memuji ninja-ninja Konoha.
"Sanggeus reureuh réngsé, Fukasaku ngajak Naruto pikeun latihan anu kakara nyaéta Fusion.","Setelah istirahat selesai, Fukasaku mengajak Naruto untuk latihan yang baru yaitu Fusion."
Sajongjonan saméméh paku kasebut ngeunaan kakashi manéhna ngagunakeun mangekyou sharingan pikeun ngaleungitkeun paku palu gergaji sarta kakashi ngagunakeun tanaga pamungkasna pikeun nulungan chouji anu baris ngalapor dina tsunadebahwa parabot tukangnya geus leungit.,Sesaat sebelum paku tersebut mengenai Kakashi dia menggunakan mangekyou sharingan untuk menghilangkan paku itu dan Kakashi menggunakan tenaga terakhirnya untuk menolong chouji yang akan melapor pada tsunade tentang kemampuan salah satu Pain.
Diwaktu anu sarua Danzo némbongkeun niat anu pituin nyaéta jadi hokage anu anyar.,Disaat yang sama Danzo menunjukkan niat yang asli yaitu menjadi hokage yang baru.
Klan Yamanaka ogé milu andil.,Klan Yamanaka juga ikut andil.
Maranéhanana keur néangan informasi ngeunaan Pain di désa Amegakure.,Mereka tengah mencari informasi tentang Pain di desa Amegakure.
"Awak Pain anu hijina nyaéta Deva, tétéla masih hirup sarta narajang Chouji sarta digagalkan Kakashi liwat mangekyo sharingan.","Tubuh Pain yang satunya yaitu Deva, ternyata masih hidup dan menyerang Chouji dan digagalkan Kakashi lewat mangekyo sharingan."
"Jeung Chakra anu kawates, Kakashi pikeun pamungkas kalina mengenang mangsa tuluyna sarta mikiran naha manéhna henteu ngabogaan kabogoh cacak geus sakolot ieu.","Dengan Chakra yang terbatas, Kakashi untuk terakhir kalinya mengenang masa lalunya dan memikirkan kenapa dia tidak memiliki pacar walau sudah setua ini."
Naruto ménta ambéh Tsunade pikeun mundur ti pertarungan ngalawan Pain.,Naruto meminta agar Tsunade untuk mundur dari pertarungan melawan Pain.
"Kakuatan sage naruto dipintonkeun, tétéla hiji awak pain mati dileungeun naruto.","Kekuatan sage naruto diperlihatkan, ternyata satu tubuh pain mati ditangan naruto."
"Komo naruto junun menghajar 2 awak pain sakaligus kalayan rasengan. sanggeus ngalaman perang anu dahsyat pamustunganana ngan 1 pain anu cangkaruk sarta dipikanyaho ngabogaan kanyataan anu mengerikan yén pain anu pamungkas,bukan anu pituin.Awak pituin pain aya di jero tangkal anu dijieun ti kertas babarengan kalayan konan.Kaluman alatan naruto baris éléh hinata turun sarta nangtayungan naruto tapi hinata langsung sakarat ku pain, saméméhna ku pain hinata ngungkabkeun perasaanya ka naruto.","Bahkan naruto berhasil menghajar 2 tubuh pain sekaligus dengan rasengan. setelah mengalami pertempuran yang dahsyat akhirnya hanya 1 pain yang tersisa dan diketahui memiliki kenyataan yang mengerikan bahwa pain yang terakhir,bukan yang asli.Tubuh asli pain ada di dalam pohon yang terbuat dari kertas bersama dengan konan .Kesal karena naruto akan kalah hinata turun dan melindungi naruto akan tetapi hinata langsung sekarat oleh pain, sebelumnya oleh pain hinata mengungkapkan perasaanya kepada naruto."
"Naruto anu nyaho hinata diserang, ambek nepi ka ngaluarkeun chakra kyuubi nepi ka buntut 6.Pain anu terdesak ngaluarkeun segel pangkuatna sarta terlarang anu disebut ""chibaku tensei"" pikeun ngerem kyuubi.Di waktu anu sarua naruto dihasut ku siluman rubah ambéh muka sakumna segelnya , dina waktu baris muka segel pamungkas nyaéta segel buntut ka salapan,tiba anjog datanglah hokage ka opat nepungan naruto.","Naruto yang mengetahui hinata diserang, marah hingga mengeluarkan chakra kyuubi hingga ekor 6.Pain yang terdesak mengeluarkan segel terkuat dan terlarang yang disebut ""chibaku tensei"" untuk mengurung kyuubi .Di saat yang sama naruto dihasut oleh siluman rubah agar membuka seluruh segelnya , pada saat akan membuka segel terakhir yaitu segel ekor ke sembilan,tiba tiba datanglah hokage ke empat menemui naruto."
"Yondaime ngabejaan yén naruto nyaéta anakna sorangan, sarta nyieun naruto reueus alatan bapana nyaéta hokage.","Yondaime memberitahu bahwa naruto adalah anaknya sendiri, dan membuat naruto bangga karena ayahnya adalah hokage."
"Tétéla Yondaime ogé nyaho ngeunaan Jiraiya, Tobi aka Madara, sarta kakuatan Pain.","Ternyata Yondaime juga mengetahui tentang Jiraiya, Tobi aka Madara, dan kekuatan Pain."
Tuluy naruto ngoréjat sarta ngaluarkeun chakra Sage pamustunganana manéhna mimitian narajang Pain god Realm jeung Rasengan Shuriken.,Lalu naruto bangkit dan mengeluarkan chakra Sage akhirnya ia mulai menyerang Pain god Realm dengan Rasengan Shuriken.
Tuluy God Realm ngalawan Rasengan Shuriken jeung Shinra Tensei.,Lalu God Realm melawan Rasengan Shuriken dengan Shinra Tensei.
"Ditempat séjén, Hinata pamustunganana bisa disalametkeun ku Sakura.","Ditempat lain, Hinata akhirnya bisa diselamatkan oleh Sakura."
Kagebunshin Naruto nyekel Pain ambéh henteu usik.,Kagebunshin Naruto memegang Pain agar tidak bergerak.
Tapi Shinrai Tensei anu gagal ngalawan Rasengan Shuriken ogé nyalametkeun Pain.,Tapi Shinrai Tensei yang gagal melawan Rasengan Shuriken juga menyelamatkan Pain.
Pamustunganana Naruto ngaluarkeun Jurus Sarébu bayangan sarta Pain ngan méré wayah 5 detik.,Akhirnya Naruto mengeluarkan Jurus Seribu bayangan dan Pain hanya memberi waktu 5 detik.
Serangan kagebunshin henteu bisa nyalametkeun naruto.,Serangan kagebunshin tidak bisa menyelamatkan naruto.
"Tapi Jurus pamungkas, Rasengan ngeunaan awak Pain.","Tapi Jurus terakhir, Rasengan mengenai tubuh Pain."
Pain terlempar sarta éléh.,Pain terlempar dan kalah.
Manéhna tuluy nyokot beusi di awak pain ambéh nagato henteu bisa ngadalikeun pain god realm.Manéhna papanggih ayah Ino sarta Shikamaru.,Dia lalu mengambil besi di tubuh pain agar nagato tidak bisa mengendalikan pain god realm.Dia bertemu ayah Ino dan Shikamaru.
Maranéhanana nahan naruto pikeun disalametkeun.,Mereka menahan naruto untuk diselamatkan.
Tapi Naruto ngadesek hayang indit.,Tapi Naruto mendesak ingin pergi. Ayah shikamaru melepaskan naruto karena teringat perkataan shikamaru.
Ayah shikamaru ngalaan naruto alatan kainget omongan shikamaru.,Tapi Naruto mendesak ingin pergi. Ayah shikamaru melepaskan naruto karena teringat perkataan shikamaru.
Naruto indit ka hiji tangkal anu dijieun ti kertas jieunan konan tuluy asup ka dina tangkal éta kalayan nyoékkeunana.,Naruto pergi ke sebuah pohon yang terbuat dari kertas buatan konan lalu masuk ke dalam pohon itu dengan merobeknya.
Sacara henteu ngahaja Nagato maéhan kadua urang Konoha kasebut.,Secara tidak sengaja Nagato membunuh kedua orang Konoha tersebut.
"Sanggeus ngaruang kolotna, Nagato papanggih Konan sarta Yahiko.","Setelah mengubur orang tuanya, Nagato bertemu Konan dan Yahiko."
"Sabot maranéhanana nempo pertarungan 3 urang Konoha (Jiraiya, Tsunade, Orochimaru) sarta Hanzou, Yahiko ngomong yén manéhna baris jadi déwa ambéh peperangan moal kungsi lumangsung.","Ketika mereka melihat pertarungan 3 orang Konoha (Jiraiya, Tsunade, Orochimaru) dan Hanzou, Yahiko mengatakan bahwa dia akan menjadi dewa agar peperangan tidak akan pernah terjadi."
Diwaktu anu sarua Nagato hayangeun impian anu sarua jeung Yahiko.,Disaat yang sama Nagato menginginkan impian yang sama dengan Yahiko.
Sanggeus éta maranéhanana néangan shinobi anu bisa tahan hirup di medan perang kasebut.,Setelah itu mereka mencari shinobi yang dapat bertahan hidup di medan perang tersebut.
"Maranéhanana papanggih Jiraiya, Tsunade sarta Orochimaru.","Mereka bertemu Jiraiya, Tsunade dan Orochimaru."
Jiraiya pamustunganana ngajarkeun maranéhanana Ninjutsu.,Jiraiya akhirnya mengajarkan mereka Ninjutsu.
"Sanggeus tilu warsih babarengan pamustunganana Jiraiya balik ka Konoha sarta katilu urang éta (Yahiko, Konan, Nagato) néangan batur anu sanasib kalayan maranéhanana.","Setelah tiga tahun bersama akhirnya Jiraiya kembali ke Konoha dan ketiga orang itu (Yahiko, Konan, Nagato) mencari rekan yang senasib dengan mereka."
Organisasi maranéhanana cukup kaceluk jeung pupuhuna nyaéta Yahiko.,Organisasi mereka cukup terkenal dengan pemimpinnya yaitu Yahiko.
Hanzou anu ngarasa kakawasaanana baris kaganggu kalayan organisasi Yahiko dkk. pamustunganana ngagabung jeung Danzou.,Hanzou yang merasa kekuasaannya akan terganggu dengan organisasi Yahiko dkk. akhirnya bergabung dengan Danzou.
"Konan diculik ku maranéhanana sarta ngusulkeun sarat ambéh Konan salamet, nyaéta maéhan Yahiko.","Konan diculik oleh mereka dan mengajukan syarat agar Konan selamat, yaitu membunuh Yahiko."
Nagato ngarasa bimbang ngeunaan sarat éta alatan henteu daék maéhan baturna sarta henteu hayang ogé baturna dibunuh Hanzou.,Nagato merasa bimbang akan syarat itu karena tidak mau membunuh temannya dan tidak ingin pula temannya dibunuh Hanzou.
Yahiko pamustunganana lumpat ka Nagato sarta menusukkan kunai ka awakna sorangan.,Yahiko akhirnya berlari ke Nagato dan menusukkan kunai ke tubuhnya sendiri.
Yahiko ogé pamustunganana gugur.,Yahiko pun akhirnya gugur.
Kaambek Nagato dina Hanzou teu terbendung.,Kemarahan Nagato pada Hanzou tak terbendung.
Manéhna ngaluarkeun kakuatan ti panon 'Rinnegan' na ngagero Kuchiyose: 'Gedou Mazou'.,Ia mengeluarkan kekuatan dari mata 'Rinnegan' nya memanggil Kuchiyose : 'Gedou Mazou'.
Tuluy mecenghul lah hiji patung badag (Anu kiwari jadi pakakas penyimpanan Bijuu ku Akatsuki) anu melahap pasukan Amegakure milik Hanzou sarta ANBU Konoha.,Lalu muncul lah sebuah patung besar (Yang kini menjadi alat penyimpanan Bijuu oleh Akatsuki) yang melahap pasukan Amegakure milik Hanzou dan ANBU Konoha.
"Sarta Hanzou ogé junun kabur ti serangan Nagato,dan éta pisan jawaban anu nagato bikeun dina naruto. kiwari nagato ogé hayangeun jawaban ti naruto. naruto ngomong yén petapa mesum geus mempercyainya sarta naruto percaya naon anu dipercaya ku petapa mesum sarta éta pisan jawaban anu naruto bikeun dina nagato.","Dan Hanzou pun berhasil kabur dari serangan Nagato,dan itulah jawaban yang nagato berikan pada naruto. kini nagato pun menginginkan jawaban dari naruto. naruto berkata bahwa petapa mesum telah mempercyainya dan naruto percaya apa yang dipercayai oleh petapa mesum dan itulah jawaban yang naruto berikan pada nagato. nagato pun akhirnya mempercyai naruto uzumaki dan ia pun menggunakan jurusnya yaitu Gedo Rinne Tensei no Jutsu untuk menghidupkan kembali semua warga desa Konoha yang telah ia bunuh dalam penyerangannya."
"Raikage maréntahkeun anak buahna pikeun maéhan sasuke uchiha. naruto anu nyaho béja kasebut ogé teu ancik cicing diapun bergegas indit nuju ka nagara beusi babarengan kakashi sarta yamato, tapi léngkah kasebut kaeureunkeun sanggeus manéhna papanggih raikage sarta manéhna ogé henteu diidinan pikeun nuju ka tempat pasamoan kasebut. sasuke anu keur dina lalampahan nuju konoha robah arah nuju pasamoan kalima kage pikeun maéhan danzo sang hokage ka 6, Rapet ogé dimimitian ti mimiti pasamoan kaayaan ogé geus memanas maranéhanana silih berambisi pikeun nyokot ahli lulugu aliansi lima nagara badag.","Raikage memerintahkan anak buahnya untuk membunuh sasuke uchiha. naruto yang mengetahui kabar tersebut pun tak tinggal diam diapun bergegas pergi menuju ke negara besi bersama kakashi dan yamato, akan tetapi langkah tersebut terhenti setelah ia bertemu raikage dan ia pun tidak diizinkan untuk menuju ke tempat pertemuan tersebut. sasuke yg sedang dalam perjalanan menuju konoha berubah arah menuju pertemuan kelima kage untuk membunuh danzo sang hokage ke 6, Rapat pun dimulai dari awal pertemuan suasana pun sudah memanas mereka saling berambisi untuk mengambil ahli pimpinan aliansi lima negara besar."
Rapet ogé ampir réngsé sarta geus dipegatkeun yén danzo anu mingpin aliansi lima nagara badag ieu.,Rapat pun hampir usai dan telah diputuskan bahwa danzo yang memimpin aliansi lima negara besar ini.
Ujug-ujug zetsu ogé mecenghul di tengah-tengah kerumunan sarta ngomong yén uchiha sasuke aya babarenganana.,Tiba-tiba zetsu pun muncul di tengah-tengah kerumunan dan berkata bahwa uchiha sasuke berada bersamanya.
"Di tempat séjén naruto keur di serang ku tobi anu henteu séjén nyaéta madara uchiha anu hayang néwak kyubi , tapi yamato sarta kakashi henteu membiarkanya nyabak naruto maranéhanana duaan langsung narajang madara uchiha. yamato mengikat madara kalayan ninjutsu elemen kai sarta kakashi narajangna kalayan chidori.Samentara Juugo sarta raikage bertarung,Tobi saterusna nyaritakeun ka Naruto yén Itachi mati demi Sasuke sarta Konoha,Naruto henteu percaya.Saterusna Tobi nyaritakeun ngeunaan Rikudo Sage pangadeg Dunya Shinobi.","Di tempat lain naruto sedang di serang oleh tobi yg tidak lain adalah madara uchiha yg ingin menangkap kyubi , tapi yamato dan kakashi tidak membiarkanya menyentuh naruto mereka berdua langsung menyerang madara uchiha. yamato mengikat madara dengan ninjutsu elemen kayu dan kakashi menyerangnya dengan chidori.Sementara Juugo dan raikage bertarung,Tobi kemudian menceritakan kepada Naruto bahwa Itachi mati demi Sasuke dan Konoha,Naruto tidak percaya.Kemudian Tobi menceritakan tentang Rikudo Sage pendiri Dunia Shinobi."
Dina waktu manéhna baris mati manéhna méré harepan dina kadua anakna.,Pada saat ia akan mati ia memberi harapan pada kedua anaknya.
Anak kahiji dibikeunana Chakra sage rinnegan sarta anak kadua dibikeunana sarta percaya yén kakuatan nyaéta konci kedamaian.,Anak pertama diberikannya Chakra sage rinnegan dan anak kedua diberikannya dan percaya bahwa kekuatan adalah kunci kedamaian.
Anak duanana dibikeun Kakuatan Sage sarta percaya yén asih nyaéta konci kedamaian.,Anak keduanya diberikan Kekuatan Sage dan percaya bahwa cinta adalah kunci kedamaian.
Saterusna Rikudo Sage milih anak duanana pikeun neruskeun impiannya.,Kemudian Rikudo Sage memilih anak keduanya untuk meneruskan impiannya.
"Kalayan dikawasa rasa iri, anak kahiji narajang anak kadua.","Dengan dikuasai rasa iri, anak pertama menyerang anak kedua."
Pertarungan ieu mangaruhan turunan Senju(anak kadua) sarta Uchiha(anak kahiji).Bales dendam nyaéta takdir ti anggota Klan Uchiha.,Pertarungan ini memengaruhi keturunan Senju(anak kedua) dan Uchiha(anak pertama).Balas dendam adalah takdir dari anggota Klan Uchiha.
Tim Eagle v.s.,Tim Eagle v.s.
"Karin anu nyaho yén Zetsu geus berkhianat nyieun maranéhanana menyelinap leuwih waspada, tapi para samurai ti désa beusi manggihan maranéhanana sarta pertarungan ogé dimimitian.","Karin yang mengetahui bahwa Zetsu telah berkhianat membuat mereka menyelinap lebih waspada, namun para samurai dari desa besi menemukan mereka dan pertarungan pun dimulai."
Sasuke anu ngagunakeun sharingan masih kuat teuing pikeun para samurai éta.,Sasuke yang menggunakan sharingan masih terlalu kuat bagi para samurai itu.
Dina sakotéap maranéhanana éléh nenggel.,Dalam sekejap mereka kalah telak.
"Sasuke anu geus papanggih raikage langsung narajangna tapi darui nangtayungan raikage, sanggeus éta shi narajang sasuke kalayan genjutsu tapi sasuke junun mematahkanya henteu di sangka darui sarta raikage geus aya di hareup sasuke sarta siap narajangna tapi junun di eureunkeun ku jugo sarta suigetsu, pedang suigetsu ogé pites henteu kuat nahan serangan raikage anu kitu kuat sarta jugo ogé ngasupan joutai 2 sarta asup mode pembunuh.Sang Raikage tetep waé meunang sarta nyieun awak Jugo tatu parna.Sasuke ogé pamustunganana ngagunakeun Amaterasu.Tapi tetep waé Raikage ngagunakeun nu ngajaga guludug sarta Ama terasu Sasuke henteu mempan.Sasuke yng geus kelelahan ogé terkapar sarta Raikage langsung boga niat tumiba Sasuke tapi dihalangan Garra.Garra saterusna ngomong yén manéhna hayang membujuk Sasuke balik kajalan anu bener.Sasuke tangtu waé henteu daék.Garra ,pengawal Raikage,Kankuro,Temari narajang Sasuke sacara babarengan.Tapi Sasuke saterusna membangkitkan kakuatan Mangekyou sharingan anu katilu nyaéta Susano'o.","Sasuke yg telah bertemu raikage langsung menyerangnya tetapi darui melindungi raikage, setelah itu shi menyerang sasuke dengan genjutsu tetapi sasuke berhasil mematahkanya tidak di sangka darui dan raikage sudah berada di depan sasuke dan siap menyerangnya tetapi berhasil di hentikan oleh jugo dan suigetsu, pedang suigetsu pun patah tidak kuat menahan serangan raikage yg begitu kuat dan jugo pun memasuki joutai 2 dan masuk mode pembunuh.Sang Raikage tetap saja menang dan membuat tubuh Jugo terluka parah.Sasuke pun akhirnya menggunakan Amaterasu.Tapi tetap saja Raikage menggunakan pelindung petir dan Ama terasu Sasuke tidak mempan.Sasuke yng sudah kelelahan pun terkapar dan Raikage langsung berniat menimpa Sasuke tapi dihalangi Garra.Garra kemudian berkata bahwa dia ingin membujuk Sasuke kembali kejalan yang benar.Sasuke tentu saja tidak mau.Garra ,pengawal Raikage,Kankuro,Temari menyerang Sasuke secara bersamaan.Tapi Sasuke kemudian membangkitkan kekuatan Mangekyou sharingan yang ketiga yakni Susano'o."
"Kalayan susano'o Sasuke ngancurkeun hateup sarta indit nuju rohang pasamoan, sanggeus nepi ka rohang pasamoan pamingpin nagara beusi langsung narajang sasuke tapi sasuke menepisnya, waktu éta danzo kabur sarta diudag ku ponggawa mizukage waktu sasuke hayang ngudag danzo mizukage menahanya kalayan kekai, pamustunganana sasuke kalibet pertarungan ngalawan kalima kage.","Dengan susano'o Sasuke menghancurkan atap dan pergi menuju ruang pertemuan, setelah sampai ruang pertemuan pemimpin negara besi langsung menyerang sasuke tapi sasuke menepisnya, saat itu danzo kabur dan dikejar oleh pengawal mizukage saat sasuke ingin mengejar danzo mizukage menahanya dengan kekai, akhirnya sasuke terlibat pertarungan melawan kelima kage Lalu sasuke kalah dan datang lah madara uchiha dan dia menolong sasuke. kemudian uchiha madara memberi tahu tujuan sebenarnya,bahwa uchiha madara mengumpulkan jinchuriki dengan bertujuan jika semua jincuriki terkumpul maka akan bangkit Juubi, jinchuriki ekor sepuluh. dan uchiha madara meminta kepada para kage agar bisa membantu dia mengumpulkan seluruh jinchuriki."
"Uchiha madara saterusna nyaritakeun ngeunaan Rikudou sage, Ninja anu menyegel Juubi ka dina awakna, sarta dianggap déwa ku jalma-jalma.",Ucicha madara kemudian menjeleaskan maksudnya untuk memakai kekuatan juubi tersebut untuk membangkitkan Kekuatan Mangekyou Sharingan : Mugen Tsukiyomi yang akan bisa membuat mada mampu menyorot bulan dan memancarkan genjutsu sempurna ke seluruh penduduk dunia.
Madara nyebutkeun rencana badagna éta minangka rencana Moon Eye ( panon Bulan).,Madara menyebut rencana besarnya itu sebagai rencana Moon Eye ( mata Bulan atau dalam bahasa Jepang disebut Tsuki no Me).
"Uchiha Madara jangji ka para hokage baris nyieun dunya tengtrem sarta moal aya deui peperangan antar ninja jeung Genjutsu sampurna. tapi raikage sarta para kage séjénna henteu sapuk kalayan uchiha madara, sarta nyebutkeun kedamaian kawas éta minangka kedamaian semu. sarta pamustunganana uchiha madara ngomong dina para kage, manéhna baris mecenghulkeun perang anyar nepi ka manéhna meunangkeun kabéh jincuriki.di séjén tempat killer bee anu nyanghareupan kisame kawalahan pedang samehada membesar alatan trus nyerepan cakra hachibi di waktu kritis raikage datang babarengan 2 ponggawana raikage langsung memenggal sirah kisame. tapi, anu dipenggal nyaéta zetsu boga warna bodas. tuluy zetsu boga warna bodas nanyakeun ka anu hideung pikeun menyudahi penyamarannya. samentara éta, kisame geus menyatu kalayan samehada anu dibawa ku killer bee.","Uchiha Madara berjanji kepada para kage akan membuat dunia damai dan tidak akan ada lagi peperangan antar ninja dengan Genjutsu sempurna. tetapi raikage dan para kage lainnya tidak setuju dengan uchiha madara, dan menyebut kedamaian seperti itu sebagai kedamaian semu. dan akhirnya uchiha madara berkata pada para kage, dia akan memunculkan perang baru sampai dia mendapatkan semua jincuriki. di lain tempat killer bee yg menghadapi kisame kewalahan. pedang samehada membesar karena trus menyerap cakra hachibi. di saat kritis raikage datang bersama 2 pengawalnya, raikage langsung memenggal kepala kisame. tetapi, yang dipenggal adalah zetsu berwarna putih. lalu zetsu berwarna putih menanyakan kepada yang hitam untuk menyudahi peRTEMPURAN INI Sasuke vs danzou."
"Sasuke vs danzou Sanggeus nyaho niat busuk Danzou minangka hokage ke-6 anu ngagantikeun samentara hokage ke-5 alatan keur dina kaayaan koma alatan perang kalayan pain, Hatake Kakashi jadi calon pangkuatna pikeun jadi hokage.","Setelah mengetahui niat busuk Danzou sebagai hokage ke-6 yg menggantikan sementara hokage ke-5 karena sedang dalam kondisi koma akibat perang dengan pain, Hatake Kakashi menjadi kandidat terkuat untuk menjadi hokage."
Mangka dina pasamoan para kage kasebut para kage berpisah.,Maka pada pertemuan para kage tersebut para kage berpisah.
"Aya anu ngudag Danzou anu geus mawa lumpat diri, aya anu néangan killer bee anu kabur ti akatsuki, sedengkeun Garaa nepungan naruto pikeun ngécéskeun naon anu keur lumangsung.","Ada yang mengejar Danzou yang telah melarikan diri, ada yang mencari killer bee yang kabur dari akatsuki, sedangkan Garaa menemui naruto untuk menjelaskan apa yang sedang terjadi."
"Di séjén tempat, danzou dihadang ku sasuke sarta di luar sangkaan tétéla panon katuhu danzou tertanam loba panon sharingan anu méré kakuatan teu terduga dina danzou. pertarungan genjutsu ogé lumangsung, sasuke anu ngagunakeun susano'o langsung menggenggam danzou di leungeunnya sarta ngancurkeun awakna, tétéla danzou geus aya di tukang sasuke. jutsu anu dipaké danzou pohara ahéng, komo madara uchiha anu ngawaskeun pertarungan éta reuwas kalayan jutsu anu dipaké danzou. tétéla danzou ngagabungkeun pangabisa sharingan kalayan dna hokage kahiji anu ngabogaan téknik kai.","Di lain tempat, danzou dihadang oleh sasuke dan di luar dugaan ternyata di tangan kanan danzou tertanam banyak mata sharingan yang memberikan kekuatan tak terduga pada danzou. pertarungan genjutsu pun terjadi, sasuke yang menggunakan susano'o langsung menggenggam danzou di tangannya dan menghancurkan tubuhnya, ternyata danzou sudah ada di belakang sasuke. jutsu yang digunakan danzou sangat aneh, bahkan madara uchiha yang memantau pertarungan itu kaget dengan jutsu yang dipakai danzou. ternyata danzou menggabungkan kemampuan sharingan dengan dna hokage pertama yang memiliki teknik kayu."
Sajaba ti éta Danzou ogé ngagunakeun téknik izanagi anu dina klan uchiha ogé dilarang.Téknik ieu mempermainkan kanyataan jadi ilusi.,Selain itu Danzou juga menggunakan teknik izanagi yang pada klan uchiha pun dilarang.Teknik ini mempermainkan kenyataan menjadi ilusi.
"Tapi Danzo ngamomorékeun teuing Sasuke, ku kituna kurang Ati-ati. pamustunganana danzou ogé éléh.","Akan tetapi Danzo terlalu meremehkan Sasuke, sehingga kurang Hati-hati.Disaat akan kalah, danzo mengeluarkan sharingan milik Uchiha Shisui yang ada di mata kanannya, saat Sasuke akan menyerang danzo, dengan cepat danzo menghindar, kemudian dia menyandera Karin, dengan upaya agar Sasuke tidak menyerangnya, akan tetapi dengan kegelapan dan juga kebencian yang sudah begitu besar tertanam didalam diri Sasuke, tanpa memperdulikan Karin, Sasuke menyerang Danzo dan Karin dengan Raikiri yang menembus Karin dan mengenai jantung Danzo, akhirnya danzou pun kalah."
Kameunang Sasuke mencitrakan yén Sasuke geus di penuhi kalayan kebencian sarta dendam.,Kemenangan Sasuke mencitrakan bahwa Sasuke telah di penuhi dengan kebencian dan dendam.
