javanese,indonesian
Tahu bakso utawa tahu isi uga kalebu jinise siomai.,Tahu bakso (tahu putih dan tahu kulit yang diisi adonan tapioka) juga dapat dimasukkan ke dalam jenis siomai.
Siomai utawa siomai Bandung disuguhake sawise diwenehi saos kacang.,Siomai umumnya dihidangkan dengan siraman saus kacang yang dibuat dari kacang tanah yang dihaluskan dan diencerkan dengan air.
Saos kacang iki digawe saka kacang brol kang dialuske nganggo banyu.,Siomai umumnya dihidangkan dengan siraman saus kacang yang dibuat dari kacang tanah yang dihaluskan dan diencerkan dengan air.
"Bumbu saos kacang yaiku lombok, gula pasir,bawang, uyah, lan cuka utawa jeruk limau.","Bumbu untuk saus kacang ini antara lain cabai merah, bawang putih, gula pasir, asam jawa, bawang putih, garam dapur, dan cuka."
"Nalika disuguhake, siomai diwenehi tambahan kecap legi, sambel botolan, utawa saos tomat.","Sewaktu disajikan, siomai bisa ditambahkan kecap manis, sambal botol dan perasan jeruk limau."
Du Ruhui,Du Ruhui
"Du Ruhui Hanzi: 杜如晦, 585 630, Adipati Cheng saka Lai 萊成公, yaiki negarawan kang misuwur nalika jaman Dinasti Tang lan sawijining perdana menteri paling apik kang ana ing Dinasti Tang.","Du Ruhui (Hanzi: 杜如晦, 585-630), Adipati Cheng dari Lai (萊成公), adalah seorang negarawan terkemuka pada awal Dinasti Tang dan salah satu perdana menteri terbaik yang pernah dimiliki Dinasti Tang."
"Du Ruhui dilairake ana ing Changan saiki Xian, Provinsi Shaanxi nalika taun 585, ana ing pemerintahan Kaisar Wen saka Sui.","Du Ruhui dilahirkan di Chang’an (sekarang Xi’an, Provinsi Shaanxi) pada tahun 585, semasa pemerintahan Kaisar Wen dari Sui."
Anggota keluargane uga akeh kang dadi pejabat.,Anggota keluarganya secara turun-temurun banyak yang menjadi pejabat.
"Kakek moyange, Du Jiao lan kakine, Du Hui iku pejabat Zhou Utara salah siji dinasti nalika jaman Dinasti Kidul lan Lor.","Kakek moyangnya, Du Jiao dan kakeknya, Du Hui adalah pejabat Zhou Utara (salah satu dinasti pada Zaman Dinasti Selatan dan Utara)."
"Dulur dulure saka kakine, Du Guo lan Du Gao, uga tokoh kang misuwur ana ing jaman semana yaiku nalika jaman Dinasti Sui.","Dua saudara kakeknya, Du Guo dan Du Gao, juga adalah tokoh terpandang pada masa Dinasti Sui."
"Du Zha, bapake yaiku sekretaris jenderal tingkat provinsi nalika jamn Sui.","Du Zha, ayahnya, adalah sekretaris jenderal tingkat provinsi pada zaman Sui."
"Du Ruhui dhewe duwe anak lanang kang ora dingerteni jenengemerga ilang saka cathetan sejarah dugaan saka saperangan sejarawan, anake Du jenenge Du Changhui, lan adhine lanang kang jenenge Du Chuke.","Du Ruhui sendiri memiliki seorang kakak laki-laki yang namanya tidak diketahui karena hilang dari catatan sejarah (dugaan beberapa sejarawan, ia bernama Du Changhui), dan seorang adik laki-laki bernama Du Chuke."
"Bakat intelektual Du wis ana wiwit nalika isih cilik, dheweke sering melu ana ing diskusi mngenani karya karya literatur.","Bakat intelektual Du telah nampak sejak masa mudanya, seringkali ia terlibat diskusi mengenai karya-karya literatur."
"Nalika jaman ana ing kakuasane Kaisar Wen, dheweke uga melu ujian kanggo mlebu dadi pegawe negeri sipil.","Pada masa berkuasanya Kaisar Wen, ia ikut ujian masuk untuk menjadi pegawai negeri sipil."
"Gao Xiaoji, deputi saka kementrian pelayanan sipil, kepincut marang Du Ruhui lan menehake kedudukan dadi pejabat daerah.","Gao Xiaoji, deputi dari kementrian pelayanan sipil, terkesan padanya dan memberikannya kedudukan sebagai pejabat daerah."
"Nanging nembe sedela njabat, Du banjur mundur saka jabatane.","Namun baru sebentar menduduki jabatan itu, Du mengundurkan diri."
Themis,Themis
Themis Basa Yunani : Θέμις wonten ing mitologi Yunani menika satunggaling Titan estri ingkang gadhah sesambetan kalihan Zeus Themis menika salah satunggal saking 7 garwanipun Zeus .,Themis () dalam mitologi Yunani adalah salah seorang Titan wanita yang memiliki hubungan dekat dengan Zeus.
Themis menika kagungan lare Horai lan Astraia saking Zeus.,Ia memiliki Anak Horai dan Astraia dari Zeus.
Themis ugi wonten ing Delos kangge mirsani wiyosipun Apollo.,Ia juga ada di Delos untuk menyaksikan kelahiran Apollo.
Themis menika salah satunggaling dewi ingkang gadhah hubungan kalihan Orakel Delphi amargi ndherek mbangun.,Themis adalah salah satu dewi yang memiliki kaitan dengan Orakel Delphi karena ia turut membangunnya.
"Themis nampi saking ibunipun, Gaia lan maringaken dhateng Foibe.","Ia menerimanya dari ibunya, Gaia dan memberikannya pada Foibe. Banyak penganut Neo-Pagan terutama Neo pagan Hellenis menganggap Themis adalah dewi kebajikan dan keadilan. banyak sekte modern menganggap Themis berperan dalam menentukan kehidupan setelah mati."
Kathah ingkang ngenut Neo Pagan mliginipun Neo Pagan Hellenis mastani Themis menika dewi kebajikan lan keadilan .,"Ia menerimanya dari ibunya, Gaia dan memberikannya pada Foibe. Banyak penganut Neo-Pagan terutama Neo pagan Hellenis menganggap Themis adalah dewi kebajikan dan keadilan. banyak sekte modern menganggap Themis berperan dalam menentukan kehidupan setelah mati."
Gambaran.,Penggambaran.
Personifikasi saking konsep abstrak ingkang dados titianipun saking Bangsa Yunani.,Personifikasi dari kosep abstrak merupakan ciri khas dari Bangsa Yunani.
Dewi Themis ingkang saged mirsani masa ngajeng menika ndadosaken Themis minangka salah satunggal ing Orakel ing Delphi ingkang ing pungkasanipun dados dewi keadilan.,"Kemampuan dewi Themis untuk melihat masa depan menjadikannya sebagai salah satu Orakel di Delphi, yang pada akhirnya menjadikannya sebagai dewi keadilan."
Wonten penggambaran klasik babagan Themis boten nedahaken bilih Themis menika wuta utawi mbeta pedang.,"Beberapa penggambaran klasik tentang Themis tidak menunjukkan dirinya buta ataupun memegang pedang (karena dia melambangkan kesepakatan bersama, bukan paksaan)."
Themis mbangun Orakel ing Delphi dene piyambakipun dados peramal.,Themis membangun Orakel di Delphi dimana dirinya sendiri merupakan seorang peramal.
"Miturut versi sanes, Themis nampi Orakel Delphi saking Gaia lajeng dipunparingaken dhateng Foibe .","Menurut versi lain, Themis menerima Orakel Delphi dari Gaia dan kemudian memberikannya pada Foibe."
Iustitia.,Iustitia.
"Wonten ing mitologi Romawi, Themis menika sejajar kalihan Iustitia utawi Justitia ingkang kalebet dewi keadilan lan hukum ugi.","Dalam mitologi Romawi, Themis dipadankan dengan Iustitia atau Justitia, yang juga merupakan dewi keadilan dan hukum."
Pay,Pay
Parlin Burman Siburian populer kanthi jeneng Pay  .,Parlin Burman Siburian (populer dengan panggilan Pay; ) adalah salah seorang musikus Indonesia.
Pay yaiku salah sijine musikus kang asale saka Indonesia.,Parlin Burman Siburian (populer dengan panggilan Pay; ) adalah salah seorang musikus Indonesia.
Pay iku salah sijine anggota saka band rock BIP kang wis nggawe album kang cacahe loro yaiku album kang judhule Turun dari langit lan Min Plus.,"Ia adalah anggota ""band rock"" BIP yang telah mengedarkan 2 album yakni """"Turun Dari Langit"""" dan """"Min Plus""""."
Pay uga kepilih dadi salah sijine gitaris kang tampil ing album Gitar Klinik lan jam sesine bareng karo Andy Timmons ing Hard Rock Cafe Jakarta.,"Pay juga terpilih sebagai salah satu gitaris yang tampil di album Gitar Klinik dan jam session bersama Andy Timmons di Hard Rock Cafe Jakarta. Pay merupakan mantan anggota ""Slank""."
Pay iku mantan anggotane Slank.,"Pay juga terpilih sebagai salah satu gitaris yang tampil di album Gitar Klinik dan jam session bersama Andy Timmons di Hard Rock Cafe Jakarta. Pay merupakan mantan anggota ""Slank""."
Pay mlebu Slank nalika taun 1989.,Pay masuk Slank pada tahun 1989.
Nalika iku Pay tepung karo produser lan njajal nawakake dhemo musike Slank.,"Di masa itu Pay kenal dengan beberapa produser dan coba-coba menawarkan demonya Slank, akhirnya ketemu dan Slank diambil."
Pungkasane Slank wiwit rekaman nalika taun 1990.,"Tahun 1990 Slank mulai rekaman, dengan personel yang terdiri dari Pay, Bimbim, Bongky, Indra dan Kaka."
"Dene personile yaiku Pay, Bimbim, Bongky, Indra lan Kaka.","Tahun 1990 Slank mulai rekaman, dengan personel yang terdiri dari Pay, Bimbim, Bongky, Indra dan Kaka."
"Wong telu iki banjur mbentuk Fargat 27, lan nggawe album kang judhule Seribu Angan. Pay banjur palakrama karo Cynthia Dewi Bayu Wardhani utawa kang luwih ditepungi kanthi jeneng Dewiq.","Pay pernah bergabung bersama Andy Liany, Ronald, dan Once membentuk Fargat 27, dan merilis album """"Seribu Angan"""". Pay menikah dengan Cynthia Dewi Bayu Wardhani atau yang lebih dikenal dengan Dewiq, seorang penyanyi asal Makassar, Indonesia, yang juga seorang musikus dan penyanyi."
Ananging Pay banjur pegatan karo Dewiq.,Ia kemudian menceraikan Dewiq.
"Sawise pegatan karo Dewiq, taun 2010 Pay banjur palakrama karo Irene Anastasya Pricilia.","Pada tahun 2010, Pay menikahi Irene Anastasya Pricilia."
Kroasia,Kroasia
"Kroasia iku sawijining negara ing banawa Eropah kang negarane awujud wulan sabit kang dumunung ana ing tapel wates dening Segara Tengah ing sisih Kidul, Eropah Tengah ing sisih lor lan Balkan ing tenggara.","Republik Kroasia adalah negara berbentuk bulan sabit di Eropa berbatasan dengan Laut Tengah di sebelah selatan, Eropa Tengah di utara dan Balkan di tenggara."
Ibu kuthane yaiku Zagreb.,Ibu kotanya adalah Zagreb.
"Jroning sajarah, negara iki arupa negara republik kanggo Republik Sosialis Federal Yugoslavia.","Dalam sejarahnya, negara ini merupakan negara republik untuk Republik Sosialis Federal Yugoslavia."
"Negara iki uga misahake lan wis ndhuwe kamardhikaan ing 1991 uga dadi salah sijine kandidat sak anggota Uni Eropah.Pedhununge cacahe kira kira ana 4,5 yuta jiwa.",Negara ini melepaskan diri dan memperoleh kemerdekaan pada 1991 dan merupakan kandidat dari anggota Uni Eropa.
Ibu kuthane iku Zagreb.,Ibu kotanya adalah Zagreb.
Kabupaten Tana Toraja,Kabupaten Tana Toraja
Kalimantan,Kalimantan (pulau)
Kalimantan iku sawijining pulo sing papane ing sisih lor Pulo Jawa lan ing sisih Kolun Pulo Sulawesi.,"Kalimantan atau Borneo (toponim: Kalamantan, Calémantan, Kalémantan, Kelamantan, Kilamantan, Klamantan, Klémantan, K'lemantan, Quallamontan) adalah pulau terbesar ketiga di dunia yang terletak di sebelah utara Pulau Jawa dan di sebelah barat Pulau Sulawesi."
"Kaperang dadi wilayah Brunei, Indonesia lan Malaysia.","Pulau Kalimantan dibagi menjadi wilayah Brunei, Indonesia (dua per tiga) dan Malaysia (sepertiga)."
Sajarah awal.,Sejarah.
Administrasi.,"Kemudian Lennon kembali tinggal bersama Yoko Ono, dan Ono hamil dengan putra pertama mereka."
Stadion Jassim Bin Hamad,Stadion Jassim Bin Hamad
"Stadion Jassim Bin Hamad  menika sebuah stadion ingkang panggenanipun ing Doha, Qatar.","Stadion Jassim Bin Hamad () merupakan sebuah stadion yang terletak di Doha, Qatar."
"Stadion punika dipunginaaken kangge nggelar pertandingan sepak bola, lan menika markas saking Al Sadd Sports Club. ugi ginaaken stadion punika kangge nggelar pertandingan kandangnya, kadasta saat Kualifikasi Piala Dunia FIFA 2010.","Stadion ini dipergunakan untuk menggelar pertandingan sepak bola, dan merupakan markas dari Al-Sadd Sports Club. juga mempergunakan stadion ini untuk menggelar pertandingan kandangnya, seperti saat Kualifikasi Piala Dunia FIFA 2010."
"Stadion punika ugi nyelenggarakaken pertandingan final Piala Teluk 2004 lan pertandingan cabang olahraga sepak bola Asian Games 2006, kalebet pertandingan final pria.","Stadion ini juga menyelenggarakan pertandingan final Piala Teluk 2004 dan pertandingan cabang olahraga sepak bola Asian Games 2006, termasuk pertandingan final pria."
Stadion punika ugi badhe dados salah satunggaling panggenan penyelenggaraan Piala Asia AFC 2011.,Stadion ini juga akan menjadi salah salah satu tempat penyelenggaraan Piala Asia AFC 2011.
Stadion punika gadahi kapasitas 15.000 tiyang.,Stadion ini memiliki kapasitas 15.000 orang.
Bakso,Bakso
Bakso utawa baxo iku sawijining panganan Indonesia.,Bakso atau baso adalah jenis bola daging yang lazim ditemukan pada masakan Indonesia.
Bakso iku rupane awujud daging sing dicampur glepung kanji sithik lan dibentuk bundher bundher.,"Bakso umumnya dibuat dari campuran daging sapi giling dan tepung tapioka, akan tetapi ada juga bakso yang terbuat dari daging ayam, ikan, atau udang."
Kasehatan.,Kesehatan.
Yen nggawe bakso ana uga kang dicampur karo boraks utawa bleng.,"Dalam proses pembuatanya, ada bakso yang dicampur dengan boraks atau bleng untuk membuat tepung menjadi lebih kenyal mirip daging serta lebih awet."
Gunane kanggo nggawe bakso luwih kenyal kaya daging lan luwih awet.,"Dalam proses pembuatanya, ada bakso yang dicampur dengan boraks atau bleng untuk membuat tepung menjadi lebih kenyal mirip daging serta lebih awet."
Iki ndadekake bakso tau dianggep panganan kang kurang aman karo BPOM.,Hal ini membuat bakso pernah dianggap makanan yang kurang aman oleh BPOM.
BPOM ngelingake yen ngonsumsi jajanan kang ngandhut boraks kang akeh nganti 5 nganti 10 taun bisa ningkatake resiko penyakit kanker hati.,BPOM mengingatkan bahwa mengonsumsi makanan berkadar boraks tinggi selama kurun 5–10 tahun dapat meningkatkan risiko kanker hati.
Mulane bakso kang didol ing pasar tradisional lan pasar swalayan diwajibke bebas boraks.,Maka bakso yang dijual di berbagai pasar tradisional dan pasar swalayan diwajibkan bebas boraks.
Masjid Cut Mutiah,Masjid Cut Mutiah
"Masjid Cut Mutiah iku salah siji masjid sing dumunung ing Dalan Cut Mutiah Nomor 1, Jakarta Pusat, DKI Jakarta, Indonesia.","Masjid Cut Mutiah adalah salah satu masjid yang terletak di Jalan Cut Mutiah Nomor 1, Jakarta Pusat, DKI Jakarta, Indonesia."
Bangunan masjid iki minangka salah siji peninggalan sajarah saka zaman penjajahan kolonial Walanda.,Bangunan masjid ini merupakan salah satu peninggalan sejarah dari zaman penjajahan kolonial Belanda.
Masjid iki nduweni kaunikan dhewe lan kamungkinan ora ana ing masjid masjid liya.,Masjid ini memiliki keunikan tersendiri dan kemungkinan tidak terdapat di masjid-masjid lainnya.
Salah siji kaunikane yaiku mihrab masjid iki dideleh ing sisih kiwa saka saf salat ora ing tengah kaya padatan.,"Salah satu keunikannya, mihrab dari masjid ini diletakkan di samping kiri dari saf salat (tidak di tengah seperti lazimnya)."
Saliyane iku posisi safe uga dumunung miring marang bangunan masjid amarga bangunan masjid ora persis ngadhep kiblat.,Selain itu posisi safnya juga terletak miring terhadap bangunan masjidnya sendiri karena bangunan masjid tidak tepat mengarah kiblat.
Sajarah.,Sejarah.
Masjid iki biyene bangunan kantor biro arsitek sekaligus pangembang N.V.,Masjid ini dulunya adalah bangunan kantor biro arsitek (sekaligus pengembang) N.V.
"Naamloze vennootschap, utawa Perseroan terbatas Bouwploeg, Pieter Adriaan Jacobus Moojen 1879   1955 sing mbangun wilayah Gondangdia ing Menteng. Wiwitan madeg.","(Naamloze vennootschap, atau Perseroan terbatas) Bouwploeg, Pieter Adriaan Jacobus Moojen (1879 - 1955) yang membangun wilayah Gondangdia di Menteng. Awal berdiri."
"Sadurunge alih fungsi minangka masjid, bangunan iki nate dipigunakake minangka kantor pos, kantor Jawatan Sepur Walanda lan kantor Kempetai Angkatan Laut Jepang 1942   1945.","Sebelum difungsikan sebagai mesjid sebagaimana sekarang, bangunan ini pernah digunakan sebagai kantor pos, kantor Jawatan Kereta Api Belanda dan kantor Kempetai Angkatan Laut Jepang (1942 - 1945)."
"Sawise Indonesia mardika, nate dipigunakake minangka kantor Urusan Perumahan, nganti Kantor Urusan Agama 1964   1970.","Setelah Indonesia merdeka, ia pernah dipergunakan sebagai kantor Urusan Perumahan, hingga Kantor Urusan Agama (1964 - 1970)."
Lan nembe ing zaman pamarentahan Gubernur Ali Sadikin diresmekake minangka masjid tingkat provinsi kanthi surat kaputusan nomer SK 5184 1987 tanggal 18 Agustus 1987.,Dan baru pada zaman pemerintahan Gubernur Ali Sadikin diresmikan sebagai masjid tingkat provinsi dengan surat keputusan nomor SK 5184/1987 tanggal 18 Agustus 1987.
Wiwitane masjid iki jenenge Yayasan Masjid Al Jihad sing diadegake dening eksponen 66 kaya Akbar Tanjung lan Fahmi Idris.,Awalnya masjid ini bernama Yayasan Masjid Al-Jihad yang didirikan oleh eksponen '66 seperti Akbar Tanjung dan Fahmi Idris.
"Ing kurun wektu orde lama, gedhung iki uga nate didadekake gedhung sekretariat MPRS.","Pada kurun waktu orde lama, gedung ini juga pernah dijadikan gedung sekretariat MPRS."
Jeneng Bouwploeg dhewe saiki isih kasisa minangka jeneng Pasar Boplo ing sakulone stasiun sepur Gondangdia.,Nama Bouwploeg sendiri kini masih tersisa dalam ingatan sebagai nama Pasar Boplo di barat stasiun kereta api Gondangdia.
Aksara Arab,Abjad Arab
"Aksara Arab sing kadhangkala disebut abjad hijaiyah, asal saka aksara Aramaik saka basa Syria lan Nabatea, ing ngendi abjad Aram ana kamiripan karo abjad Koptik lan Yunani.","Abjad Arab yang kadang-kadang disebut Huruf Hijaiah, berasal dari Aksara Aramea (dari bahasa Syria dan Nabatea), dimana abjad Aram terlihat kemiripannya dengan abjad Koptik dan Yunani."
Katon prabedan panulisan antara Magribi lan Wetan Tengah.,Terlihat perbedaan penulisan antara Magribi dan Timur Tengah.
Antara liya panulisan aksara qaf lan fa.,Diantaranya adalah penulisan huruf qaf dan fa.
"Ing tlatah Maghribi, aksara qaf lan fa ditulis nganggo titik ing ngisor lan siji titik ing dhuwre.","Di Maghribi, huruf qaf dan fa dituliskan dengan memiliki titik di bawah dan satu titik di atasnya."
Dhialek.,Dialek.
"Arab Umum utawa Al Arabiyyah Al Ammiyah iku basa Arab sing dianggo ing pacelathon sadina dina ing tlatah Arab, lan beda banget karo Basa Arab tulisan.","Arab Umum atau ""Al-'Arabiyyah Al-'Ammiyah"" adalah bahasa Arab yang dipakai dalam percakapan sehari-hari di dunia Arab, dan amat berbeda dengan Bahasa Arab tulisan."
Prabedan dhialek paling utama yaiku antara Afrika Lor Magribi lan bageyan wetan Tengah Hijaz.,Perbedaan dialek paling utama ialah antara Afrika Utara (Arab Magrib) dan bagian Timur Tengah (Hijaz).
Faktor sing nyebabake prabedan dhialek basa Arab yaiku pengaruh substrat basa sing dipigunakake sadurunge basa Arab teka.,Faktor yang menyebabkan perbedaan dialek bahasa Arab ialah pengaruh substrat (bahasa yang digunakan sebelum bahasa Arab datang).
"Upamane ing tembung yakūn tegese iku, ing Irak disebut aku, ing Palestina fih, lan ing Magribi disebut kayən.","Seperti misalnya pada kata yakūn (artinya ""itu""), di Irak disebut ""aku"", di Palestina ""fih"", dan di Magribi disebut ""kayən""."
Dhaptar dhialek utama ing Arab: Sauntara dhialek liya yaiku:,Daftar dialek utama di Arab adalah sebagai berikut: Sementara beberapa dialek lainnya adalah:
Devi Kinal Putri,Devi Kinal Putri
Profil.,Profil.
"Kinal dikenal amerga seneng joget awit cilik. sakdurunge gabung kaliyan JKT48, kinal uga kalebu grup cover dance K Pop, secret girls nganti taun 2010, saklajenge grup Queen A, yaiku grup sing gaweane nggarap cover dance kanggo girlband saka Korea Selatan, Miss A, dadi Wang Fei Fei.",Dia dikenal senang menari sejak kecil.
Kinal kuwi salah sawijining generasi kapisan lan uga Kaptem Tim J JKT48.,Kinal merupakan salah seorang member generasi pertama sekaligus kapten tim J dari JKT48.
"Babat, Lamongan","Babat, Lamongan"
"Kecamatan Babat Inggih menika satunggalipun kecamatan ing Kabupaten Lamongan, provinsi Jawi Wetan.","Babat adalah sebuah kecamatan di Kabupaten Lamongan, Jawa Timur, Indonesia."
"Kecamatan menika dumunung wonten sapinggiring margi ingkang ngubungaken Surabaya Jakarta, lan nggadahi panggenan ingkang strategis, amargi dumunung ing margi ageng ingkang nggubungakan antar kitha.",Babat merupakan kota kecamatan terbesar kedua di Kabupaten Lamongan yang memiliki lokasi yang sangat strategis sehingga hal ini merupakan suatu aset yang sangat besar untuk pengembangan Kecamatan Babat untuk diperbesar lagi perannya selaku Kawasan Perdagangan di Kabupaten Lamongan Jawa Timur.
"Kecamatan Babat mujudaken salah satunggalipun kecamatan saking pitulikur kecamatan wonten ing Kabupaten Lamongan ingkang manggen wonten ing sapinggiriripun margi jurusan Jakarta Surabaya, lan wonten antawisipun kitha kitha : Wiyaripun wewengkon watawis 6.375,475 Ha kanthi cacah jiwa + 75.717 jiwa ingkang dumados saking 37.234 jaler lan 38.483 estri.","Penduduknya berjumlah 75.717 jiwa, yang terdiri dari 37.234 laki-laki dan 38.483 perempuan."
Pamarentahan.,Sarana pemerintahan.
"Panarentahan Kecamatan Babat dumados saking Dinas Instansi ingkang dumados saking Instansi Teknis lan instansi ingkang gegayutan kaliyan pelayanan masyarakat ingkang cacahipun ngantos 26 Dinas Instansi lan 70% sampun anggadhahi kantor piyambak senandyan taksih kirang prayogi sarana lan prasarananipun, dene ingkang 30 % sanesipun taksih dados setunggal kaliyan instansi sanes.",Di Kecamatan Babat ini terdapat Dinas Instansi baik instansi teknis maupun instansi yang berhubungan dengan pelayanan masyarakat dengan jumlah 26 Dinas Instansi; 70% sudah memiliki perkantoran sendiri tapi belum terlalu layak sedangkan sisanya yakni 30% masih bergabung dengan instansi lain.
Ekonomi.,Sarana perekonomian.
12 Dewa Olimpus,12 Dewa Olimpus
"12 Dewa Olimpus ugi kawentar kanthi sebatan Dodekatheon Greek: δωδεκα  dodeka = 12, θεον  theon = dewa wonten ing mitologi Yunani inggih menika dewa dewi utami Yunani ingkang mapan wonten ing pucuking redi Olimpus .","12 Dewa Olimpus juga dikenal dengan sebutan ""Dodekatheon"" (Greek: δωδεκα /dodeka = 12, θεον /theon = dewa) dalam mitologi Yunani adalah dewa-dewi utama Yunani yang tinggal di puncak Gunung Olimpus."
Kirang langkung wonten 17 dewa dewi ingkang dipunwastani 12 Dewa Olimpus sanajan cacahipun boten langkung sakng kalih welas ing satunggal dhaptar.,Ada sekitar 17 dewa-dewi yang dianggap 12 Dewa Olimpus walaupun jumlahnya tidak lebih dari dua belas dalam satu daftar.
Dewa Dewi Olimpus.,Dewa-Dewi Olimpus.
"Zeus, Hera, Poseidon, Ares, Hermes, Hefaistos, Afrodit, Athena, Apollo lan Artemis mesthi kalebet ing dhaptar Dewa Dewi Olimpus.","Zeus, Hera, Poseidon, Ares, Hermes, Hefaistos, Afrodit, Athena, Apollo dan Artemis selalu masuk dalam daftar Dewa-Dewi Olimpus."
"Kalih saking Hebe, Helios, Hestia, Demeter, Dionisos, Hades, lan Persefone menika dados jangkepan saking sedasa dewa dewi kasebat.","Dua dari Hebe, Helios, Hestia, Demeter, Dionisos, Hades, dan Persefone menjadi pelengkap dari kesepuluh dewa-dewi itu."
Cariyos jangkepan.,Kisah pelengkap.
Hestia ngaturaken posisinipun minangka anggota Olimpus dhateng Dionisios supados saged gesang sesarengan kaliyan manungsa pungkasan Hestia dipunangkat dados ingkang njagi pakunjaran latu wonten ing Olimpus lajeng Hestia boten purun dipunwastani minangka anggota saking Olimpus.,Hestia menyerahkan posisinya sebagai anggota Olimpus kepada Dionisios agar dapat hidup bersama manusia (akhirnya dia diangkat sebagai penjaga api di Olimpus) maka ia menolak disebut sebagai anggota Olimpus.
"Persefone mapan 6 wulan saben taunipun kaliyan garwanipun, Hades ing donya saandhapipun siti mitologinipun menika ingkang damel gersang ing mangsa gugur lan mangsa asrep.",Persefone tinggal selama 6 bulan setiap tahunnya bersama suaminya Hades di dunia bawah tanah (konon mengakibatkan kegersangan di musim gugur dan dingin).
"6 wulan sanesipun, Persefone pikantuk kondur ing Olimpus lan mapan kaliyan ibunipun, Demeter.","Enam bulan lainnya, ia boleh kembali ke Olimpus dan tinggal bersama ibunya, Demeter."
"Sanadyan Hades menika kalebet dewa utami Yunani, ananging amargi mapan wonten ing donya saandhapipun siti lajeng gegandhenganipun kaliyan Olimpus boten raket.","Walaupun Hades termasuk dewa utama Yunani, tetapi karena tinggal di dunia bawah tanah maka ia tidak erat dengan Olimpus."
"Wonten ing cariyos sanesipun, Helios maringaken papanipun kagem Apollo.","Dalam kisah lain, Helios memberikan tempatnya untuk Apollo."
"Hebe, satunggaling ingkang mbeta cawan anggur kagem para dewa maringaken posisinipun ing Olimpus kangge agarwa Herakles ingkang dados dewa Olimpus sasampunipun seda. Karakteristik dewa.","Hebe, seorang pembawa cawan anggur bagi para dewa menyerahkan posisinya di Olimpus untuk menikahi Herakles yang menjadi dewa Olimpus setelah wafat."
Saben dewa dewi ing mitologi Yunani kasebat paling boten kagungan satunggal unsur ingkang dipunkuwaosi lan dipunjagi.,Setiap dewa-dewi dalam mitologi Yunani memiliki setidaknya satu unsur yang dikuasai dan dilindunginya.
Unsur unsur kasebat inggih menika :,Masing-masing unsur tersebut adalah:
Borgol,Borgol
Borgol iku piranti penahan sing dirancang kanggo nyawijekake kaloro ugel ugel tangan.,Borgol adalah alat penahan yang dirancang untuk menyatukan kedua pergelangan tangan seseorang.
"Dumadi saka ronggelang sing digandheng nganggo rante cendhak, saben gelang bisa dibuka lan ditutup nganggo kunci.","Terdiri dari dua gelang yang dihubungkan dengan rantai pendek, setiap gelang dapat dibuka dan ditutup dengan kunci."
Pamborgolan biasane dilakoni kanggo nyegah supaya wong ora mlayu saka tahanan.,Pemborgolan biasanya dilakukan untuk mencegah seseorang melarikan diri dari tahanan.
"Ana uga borgol sikil, borgol tangan sing nduweni borgol jempol, lan sapanunggalane.","Ada juga borgol kaki, borgol tangan yang memiliki borgol jempol, dan lain-lain."
"Borgol bisa digawe saka waja tahan karat, waja karbon, aluminium, utawa polimer.","Borgol dapat dibuat dari baja tahan karat, baja karbon, aluminium, atau polimer."
PlastiCuffs.,PlastiCuffs.
"PlastiCuffs utawa FlexiCuffs iku borgol saka bahan plastik sing entheng, bisa digawa jroning gunggung sing akeh dening pulisi anti huru hara, umpamane kanggo nangani protes lan karusuhan.","PlastiCuffs atau FlexiCuffs adalah borgol dari plastik yang ringan, dapat dibawa dalam jumlah besar oleh polisi anti huru-hara, misalnya untuk menangani protes dan kerusuhan."
Saliyane iku sawetara maskapai pamaburan uga saiki nggawa borgol plastik kanggo nahan penumpang sing gawe onar utawa tersangka terorisme.,Selain itu beberapa maskapai penerbangan juga sekarang membawa borgol plastik untuk menahan penumpang yang membuat onar atau tersangka terorisme.
Borgol plastik mung bisa dicopot kanthi cara dikethok nganggo barang landhep.,Borgol plastik hanya dapat dilepaskan dengan cara dipotong menggunakan benda tajam.
Kotak grup musik,Kotak (grup musik)
"Saking ajang The Dream Band ingkang dipunwontenaken dening salah satunggaling televisi swasta, grup band Kotak kawujud.",Kotak adalah band beraliran pop-rock yang terbentuk dari ajang The Dream Band pada tahun 2004.
